SID,Age,Sex,Language,Experimenter,Entered_By,Exclude_analysis,Exclude_analysis_reason,Exclude_task,Excluded_task,Exclude_task_reason,Task,Trial_number,Task_item,Response_single,Response_double,Response_final,Correct_final,Mem_check_1_single,Mem_check_1_double,Mem_check_1_final,Mem_check_2_single,Mem_check_2_double,Mem_check_2_final,Notes_single,Notes_double,Unit_task_repeat_alts,Exclude_trial_single,Exclude_trial_double,Exclude_trial_final,Exclude_trial_reason
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,8,107,2,2,2,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,9,116,5,5,5,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,10,224,1,1,1,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,11,252,4,4,4,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,NN,12,271,4,4,4,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,Sample Item A,Apple,0,0,0,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,1,Sun,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,2,Book,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,3,Cake,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,4,Leaf,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,5,Balloon,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,6,Leaf,0,0,0,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,Sample Item B,SockFlower,0,0,0,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,7,PresentTire,0,0,0,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,8,KiteHydrant,0,0,0,0,,,,,,,,,NA,0,0,0,
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,9,DuckClover,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,10,TireHydrant,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,11,CloverKite,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,12,PresentDucck,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,13,BellRainbowChair,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,14,BlockHatDrum,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,15,MugHourglassBlock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,16,HatChairRainbow,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,17,HourglassMugBell,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,18,DrumRainbowHourglass,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,19,BellBlockHat,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,20,ChairDrumMug,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,21,RainbowMugHat,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,22,HourglassBellChair,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,23,PlanetShoeClockStar,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,24,HourglassKiteBlockHeart,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,25,StarBookHourglassShoe,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,26,KiteTirePlanetBlock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,27,BookHeartTireClock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,28,BlockPlanetKiteHourglass,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,29,SunDrumRainbowHydrantClock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,30,BalloonCloverBookPlanetMug,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,31,BookClockBalloonSunPlanet,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,32,DrumMugHydrantCloverRainbow,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,33,LeafTireHatClockShoeDuck,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,34,StarBellRainbowChairCakePresent,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-01,4.41889117,M,Cantonese,CL,KLH,0,,0,,,WPPSI,35,RainbowPresentCakeHatShoeBellLeaf,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,GiveN,1,6,NA,6,6,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,GiveN,2,9,NA,9,9,1,,,,,,,,,NA,0,,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,GiveN,3,7,NA,7,7,1,,,,,,,,second try,NA,0,,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,GiveN,4,5,NA,5,5,1,,,,,,,,,NA,0,,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,Training,1,2,2,2,1,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,1,5,7,7,7,0,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,2,7,8,8,8,1,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,3,16,17,17,17,1,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,4,24,25,25,25,1,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,5,52,53,53,53,1,0,0,0,0,0,0,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,6,71,73,73,73,0,0,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,7,105,107,107,107,0,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,8,107,109,109,109,0,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,9,116,118,118,118,0,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,10,224,226,226,226,0,0,0,0,0,0,0,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,11,252,254,254,254,0,0,0,0,0,0,0,,"""20 200 fish""",,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,SF,12,271,273,273,273,0,1,1,1,1,,,,,,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,Training,1,2,2,2,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,1,5,6,6,6,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,2,7,8,8,8,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,3,16,11,11,11,0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,4,24,15,15,15,0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,5,52,"17,18","17, 18","17, 18",0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,6,71,"8, 9","8, 9","8, 9",0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,7,105,105,1051,1051,0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,8,107,"52 ,89","52,8,9","52,8,9",0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,9,116,"89,19",8919,8919,0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,10,224,"8,9,7","8,9,7","8,9,7",0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,11,252,"11,8","11,8","11,8",0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,NN,12,271,"8,9,10","8,9,10","8,9,10",0,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,Sample Item A,Apple,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,1,Sun,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,2,Book,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,3,Cake,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,4,Leaf,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,5,Balloon,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,6,Leaf,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,Sample Item B,SockFlower,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,7,PresentTire,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,8,KiteHydrant,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,9,DuckClover,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,10,TireHydrant,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,11,CloverKite,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,12,PresentDucck,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,13,BellRainbowChair,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,14,BlockHatDrum,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,15,MugHourglassBlock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,16,HatChairRainbow,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,17,HourglassMugBell,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,18,DrumRainbowHourglass,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,19,BellBlockHat,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,20,ChairDrumMug,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,21,RainbowMugHat,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,22,HourglassBellChair,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,23,PlanetShoeClockStar,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,24,HourglassKiteBlockHeart,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,25,StarBookHourglassShoe,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,26,KiteTirePlanetBlock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,27,BookHeartTireClock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,28,BlockPlanetKiteHourglass,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,29,SunDrumRainbowHydrantClock,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,30,BalloonCloverBookPlanetMug,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,31,BookClockBalloonSunPlanet,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,32,DrumMugHydrantCloverRainbow,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,33,LeafTireHatClockShoeDuck,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,34,StarBellRainbowChairCakePresent,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-02,4.164271047,M,Cantonese,KG,KLH,0,,0,,,WPPSI,35,RainbowPresentCakeHatShoeBellLeaf,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,GiveN,1,6,NA,6,6,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,GiveN,2,9,NA,9,9,1,,,,,,,,,NA,0,,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,GiveN,3,7,NA,7,7,1,,,,,,,,,NA,0,,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,GiveN,4,5,NA,5,5,1,,,,,,,,,NA,0,,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,Training,1,2,2,2,1,1,1,1,,,,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,1,5,6,6,6,1,0,0,0,1,1,1,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,2,7,8,8,8,1,1,1,1,,,,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,3,16,17,17,17,1,0,0,0,1,1,1,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,4,24,25,25,25,1,0,0,0,0,0,0,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,5,52,54,54,54,0,0,0,0,1,1,1,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,6,71,73,73,73,0,1,1,1,,,,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,7,105,106,106,106,1,1,1,1,,,,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,8,107,109,109,109,0,1,1,1,,,,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,9,116,118,118,118,0,0,0,0,0,0,0,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,10,224,226,226,226,0,0,0,0,124,124,0,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,11,252,253,253,253,1,IDK,IDK,0,150,150,0,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,SF,12,271,273,273,273,0,175,175,0,175,175,0,,,,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,Training,1,2,2,2,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,1,5,6,6,6,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,2,7,8,8,8,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,3,16,17,17,17,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,4,24,25,25,25,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,5,52,53,53,53,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,6,71,72,72,72,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,7,105,106,106,106,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,8,107,108,108,108,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,9,116,117,117,117,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,10,224,215,215,215,0,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,11,252,253,253,253,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,NN,12,271,278,278,278,0,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,Sample Item A,Apple,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,1,Sun,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,2,Book,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,3,Cake,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,4,Leaf,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,5,Balloon,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,6,Leaf,NA,NA,NA,NA,,,,,,,,,NA,1,1,1,no data
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,Sample Item B,SockFlower,0,0,0,0,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,7,PresentTire,1,1,1,1,,,,,,,,,NA,0,0,0,
070218-CW-03,4.610540726,M,Cantonese,KG,KLH,0,,0,,,WPPSI,8,KiteHydrant,0,0,0,0,,,,,,,,,NA,0,0,0,
