SID,Language,Last_successful,Error,Prompt,After_prompt,IHC_single,IHC_final,FHC_single,FHC_final,Special_count,Experimenter_missed,Notes,Coder,Exclude,Exclude-reason,Validated,PB on 11.13.18
AM-2,English (India),40,50,41,42,18,18,99,99,0,0,,SH,0,,RMS,
AM-2,English (India),50,60,51,52,18,18,99,99,0,0,,SH,0,,RMS,
AM-2,English (India),60,70,61,62,18,18,99,99,0,0,,SH,0,,RMS,
AM-2,English (India),70,80,71,72,18,18,99,99,0,0,,SH,0,,RMS,
AM-2,English (India),80,90,81,82,18,18,99,99,0,0,,SH,0,,RMS,
AM-2,English (India),90,IDK,91,92,18,18,99,99,0,0,,SH,0,,RMS,
AM-2,English (India),99,IDK,100,7,18,18,99,99,0,0,,SH,0,,RMS,
AM-20,English (India),NA,NA,NA,NA,NA,NA,NA,NA,,0,,RMS,1,Child would not count,RMS,
AM-21,English (India),85,88,86,87,85,85,109,109,,0,,RMS,0,,RMS,
AM-21,English (India),100,IDK,101,102,85,85,109,109,,0,,RMS,0,,RMS,
AM-21,English (India),103,106,NA,NA,85,85,109,109,,0,Experimenter didn't catch error,RMS,0,,RMS,
AM-21,English (India),109,1000,110,IDK,85,85,109,109,,0,,RMS,0,,RMS,
AM-21,English (India),110,IDK,111,NA,85,85,109,109,,0,,RMS,1,Experimenter continued to prompt when child couldn't continue ,RMS,
AM-22,English (India),39,silence,40,41,39,39,109,109,,0,RMS: Can't tell if this child skipped 40 and experimenter missed,RMS,0,,RMS,
AM-22,English (India),49,silence,"""Ffff""",50,39,39,109,109,,0,"RMS: Experimenter prompted with first syllable of decade label, but child supplied it. Unclear whether this should be counted as a prompt or not.",RMS,0,,RMS,
AM-22,English (India),59,silence,"""Ssss""",60,39,39,109,109,,0,"RMS: Experimenter prompted with first syllable of decade label, but child supplied it. Unclear whether this should be counted as a prompt or not.",RMS,0,,RMS,
AM-22,English (India),65,67,NA,NA,39,39,109,109,,1,Experimenter missed,RMS,0,,RMS,
AM-22,English (India),89,100,90,91,39,39,109,109,,0,,RMS,0,,RMS,
AM-22,English (India),99,1,100,101,39,39,109,109,,0,,RMS,0,,RMS,
AM-22,English (India),109,100,110,111,39,39,109,109,,0,"Child continued to count, but was counting without 100s. ",RMS,0,,RMS,
AM-23,English (India),100,IDK,101,200,100,100,100,100,,0,,RMS,0,,RMS,
AM-23,English (India),101,200,102,3,100,100,100,100,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-23,English (India),102,3,103,104,100,100,100,100,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-23,English (India),109,2100,110,111,100,100,100,100,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-23,English (India),122,124,NA,NA,100,100,100,100,,0,Experimenter missed,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-24,English (India),NA,NA,NA,NA,NA,NA,NA,NA,,NA,No HC recording,RMS,1,No HC recording,RMS,
AM-25,English (India),110,109,111,112,110,110,125,125,,0,"Experimenter prompted 110, but child was silent after 110. Later prompted 111. ",RMS,0,,RMS,
AM-25,English (India),113,115,114,115,110,110,125,125,,0,Child said 14 as experimenter said 114,RMS,0,,RMS,
AM-25,English (India),115,117,NA,NA,110,110,125,125,,0,Experimenter missed,RMS,0,,RMS,
AM-25,English (India),120,21-100,123,124,110,110,125,125,,0,"Child started counting irregularly, experimenter prompted at 123",RMS,0,,RMS,
AM-25,English (India),125,IDK,126,117,110,110,125,125,,0,,RMS,0,,RMS,
AM-25,English (India),130,140,131,141,110,110,125,125,,0,Experimenter prompted this twice,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-26,English (India),20,30 (?),21,22,20,20,29,29,,0,,RMS,0,,RMS,
AM-26,English (India),25,60 (?),26,27,20,20,29,29,,0,,RMS,0,,RMS,
AM-26,English (India),29,37 (?),30,IDK,20,20,29,29,,0,,RMS,0,,RMS,
AM-27,English (India),33,35,NA,NA,33,33,119,119,,0,Experimenter missed,RMS,0,,RMS,
AM-27,English (India),53,55,NA,NA,33,33,119,119,,0,"Experimenter missed, a lot of background noise, I think child got distracted",RMS,0,,RMS,
AM-27,English (India),71,73,NA,NA,33,33,119,119,,0,Experimenter missed,RMS,0,,RMS,
AM-27,English (India),89,30,90,91,33,33,119,119,,0,,RMS,0,,RMS,
AM-27,English (India),109,IDK,110,111,33,33,119,119,,0,,RMS,0,,RMS,
AM-27,English (India),116,118,117,118,33,33,119,119,,0,,RMS,0,,RMS,
AM-27,English (India),119,IDK,120,IDK,33,33,119,119,,0,,RMS,0,,RMS,
AM-27,English (India),120,IDK,121,NA,33,33,119,119,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-28,English (India),NA,NA,NA,NA,NA,NA,NA,NA,,NA,Child would not count,RMS,1,child would not count,RMS,
AM-29,English (India),6,IDK,7,8,6,6,9,9,,0,,RMS,0,,RMS,
AM-29,English (India),9,IDK,10,IDK,6,6,9,9,,0,,RMS,0,,RMS,
AM-29,English (India),10,IDK,11,IDK,6,6,9,9,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-3,English (India),14,16,15,16,14,14,29,29,0,0,,SH,0,,RMS,
AM-3,English (India),16,18,17,18,14,14,29,29,0,0,,SH,0,,RMS,
AM-3,English (India),20,IDK,21,22,14,14,29,29,0,0,,SH,0,,RMS,
AM-3,English (India),29,IDK,30,40,14,14,29,29,0,0,,SH,0,,RMS,
AM-30,English (India),14,16,15,17,14,14,14,14,,0,,RMS,0,,RMS,
AM-30,English (India),15,17,16,17,14,14,14,14,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-30,English (India),20,IDK,21,22,14,14,14,14,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-30,English (India),29,22,30,31,14,14,14,14,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-30,English (India),31,IDK,32,39,14,14,14,14,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-31,English (India),100,IDK,101,102,100,100,122,122,,0,,RMS,0,,RMS,
AM-31,English (India),122,143,123,151,100,100,122,122,,0,"Experimenter accidentally prompted two numbers, but child made error immediately after anyway",RMS,0,,RMS,
AM-32,English (India),100,IDK,101,102,100,100,140,140,,0,,RMS,0,,RMS,
AM-33,English (India),100,200,101,102,100,100,140,140,,0,,RMS,0,,RMS,
AM-33,English (India),110,202,111,112,100,100,140,140,,0,,RMS,0,,RMS,
AM-34,English (India),39,IDK,40,41,39,39,79,79,,0,,RMS,0,,RMS,
AM-34,English (India),49,IDK,50,51,39,39,79,79,,0,,RMS,0,,RMS,
AM-34,English (India),54,56,55,56,39,39,79,79,,0,,RMS,0,,RMS,
AM-34,English (India),59,IDK,60,61,39,39,79,79,,0,,RMS,0,,RMS,
AM-34,English (India),69,IDK,70,71,39,39,79,79,,0,,RMS,0,,RMS,
AM-34,English (India),77,66,78,79,39,39,79,79,,0,,RMS,0,,RMS,
AM-34,English (India),79,IDK,80,IDK,39,39,79,79,,0,,RMS,0,,RMS,
AM-34,English (India),80,IDK,81,82,39,39,79,79,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-34,English (India),83,IDK,84,NA,39,39,79,79,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-35,English (India),20,IDK,21,22,20,20,30,30,,0,,RMS,0,,RMS,
AM-35,English (India),30,IDK,31,IDK,20,20,30,30,,0,,RMS,0,,RMS,
AM-36,English (India),59,40,60,61,59,59,109,109,,0,,RMS,0,,RMS,
AM-36,English (India),65,67,NA,NA,59,59,109,109,,0,Experimenter missed,RMS,0,,RMS,
AM-36,English (India),109,IDK,110,IDK,59,59,109,109,,0,,RMS,0,,RMS,
AM-36,English (India),110,IDK,111,112,59,59,109,109,,0,,RMS,1,Experimenter continued to prompt after child made error immediately after prompt,RMS,
AM-38,English (India),39,50,40,41,39,39,119,97,,,,JA,0,,RMS,
AM-38,English (India),55,53,55,56,39,39,119,97,,,,JA,0,,RMS,
AM-38,English (India),64,63,64,65,39,39,119,97,,,,JA,0,,RMS,
AM-38,English (India),97,99,97,99,39,39,119,97,,,,JA,0,,RMS,
AM-38,English (India),100,didn't know,101,102,39,39,119,97,,,,JA,1,made error immediately after prompt,RMS,
AM-38,English (India),104,102,104,105,39,39,119,97,,,,JA,1,made error immediately after prompt,RMS,
AM-38,English (India),109,silence,110,111,39,39,119,97,,,,JA,1,made error immediately after prompt,RMS,
AM-38,English (India),114,116,115,116,39,39,119,97,,,,JA,1,made error immediately after prompt,RMS,
AM-38,English (India),119,silence/didnt know,120,,39,39,119,97,,,,JA,1,made error immediately after prompt,RMS,
AM-39,English (India),24,27,24,25,24,24,140,140,,,"After 24, kid starts saying 27, stops as though knows its a mistake, experimentor repeats twenty four, kid goes to 25",JA,0,,RMS,
AM-39,English (India),69,80,69,70,24,24,140,140,,,,JA,0,,RMS,
AM-39,English (India),118,120,119,120,24,24,140,140,,,,JA,0,,RMS,
AM-39,English (India),120,122,121,122,24,24,140,140,,,,JA,0,,RMS,
AM-39,English (India),140,NA,NA,NA,24,24,140,140,,,,JA,1,not an error,RMS,
AM-4,English (India),14,16 then 17,15,17,14,14,14,14,0,0,,SH,0,,RMS,
AM-40,English (India),100,doesn't know,101,silent ,100,100,129,125,,,Pauses on fifty nine but corrects self to 60; repeats 62 twice but continues properly,JA,0,,RMS,
AM-40,English (India),NA,silent ,102,103,100,100,129,125,,,,JA,0,,RMS,
AM-40,English (India),115,unintelligible,116,117,100,100,129,125,,,,JA,0,,RMS,
AM-40,English (India),125,106,126,107,100,100,129,125,,,"Kid goes from 125-106, experimenter thinks kid goes from 125-105",JA,0,,RMS,
AM-40,English (India),129,Onehundredtwenty ten',NA,NA,100,100,129,125,,,"Experimentor lists 125 as FHC, but after being prompted by exp. at 126 and 127 the kid counts to 129.",JA,1,could not continue after prompt,RMS,
AM-40,English (India),NA,,127,128,100,100,129,125,,,,JA,1,could not continue after prompt,RMS,
AM-41,English (India),10,doesn't know,11,12,10,10,29,29,,,,JA,0,,RMS,
AM-41,English (India),29,twenty-ten',30,NA,10,10,29,29,,,,JA,1,could not continue after prompt,RMS,
AM-41,English (India),30,NA,31,NA,10,10,29,29,,,,JA,1,could not continue after prompt,RMS,
AM-42,English (India),79,90,80,81,79,79,102,94,,,,JA,0,,RMS,
AM-42,English (India),94,96,94,96,79,79,102,94,,1,experimentor misses 2nd 94->96 jump as kid counts to 100,JA,0,,RMS,
AM-42,English (India),100,102,101,102,79,79,102,94,,,,JA,1,made error immediately after prompt,RMS,
AM-42,English (India),102,106,103,104,79,79,102,94,,,,JA,1,made error immediately after prompt,RMS,
AM-43,English (India),14,17,15,16,14,14,120,122,,,,JA,0,,RMS,
AM-43,English (India),105,107,105,106,14,14,120,122,,,,JA,0,,RMS,
AM-43,English (India),115,117,115,116,14,14,120,122,,,,JA,0,,RMS,
AM-43,English (India),120,,121,122,14,14,120,122,,,,JA,0,,RMS,
AM-44,English (India),19,40,30,31,19,19,96,69,,,,JA,0,,RMS,
AM-44,English (India),38,36,39,40,19,19,96,69,,,,JA,0,,RMS,
AM-44,English (India),50,silence,51,52,19,19,96,69,,,,JA,0,,RMS,
AM-44,English (India),60,silence,61,62,19,19,96,69,,,,JA,0,,RMS,
AM-44,English (India),69,silence,70,NA,19,19,96,69,,,,JA,0,,RMS,
AM-44,English (India),NA,NA,71,72,19,19,96,69,,,,JA,1,could not continue after prompt,RMS,
AM-44,English (India),96,NA,97,98,19,19,96,69,,,,JA,1,could not continue after prompt,RMS,
AM-44,English (India),98,NA,99,100,19,19,96,69,,,,JA,1,could not continue after prompt,RMS,
AM-44,English (India),98,NA,101,NA,19,19,96,69,,,,JA,1,could not continue after prompt,RMS,
AM-44,English (India),98,NA,102,NA,19,19,96,69,,,,JA,1,could not continue after prompt,RMS,
AM-45,English (India),98,100,99,100,98,98,119,109,,,,JA,0,,RMS,
AM-45,English (India),109,doesn't know/unsure,110,NA,98,98,119,109,,,,JA,0,,RMS,
AM-45,English (India),110,NA,111,112,98,98,119,109,,,,JA,1,could not continue after prompt,RMS,
AM-45,English (India),114,116,114,115,98,98,119,109,,,,JA,1,could not continue after prompt,RMS,
AM-45,English (India),119,NA,NA,NA,98,98,119,109,,,,JA,1,could not continue after prompt,RMS,
AM-46,English (India),29,"""three-zero""",30,"""three-one""",29,29,29,29,,,,JA,0,,RMS,
AM-46,English (India),29,NA,32,53,29,29,29,29,,,,JA,1,could not continue after prompt,RMS,
AM-47,English (India),28,39,NA,NA,28,55,129,129,,1,"experimentor missed this; kid says (I am pretty sure) 39 after 28, but then corrects self to 29",JA,1,"this is not an error, kid self-corrects",RMS,
AM-47,English (India),55,52,55,56,28,55,129,129,,,,JA,0,,RMS,
AM-47,English (India),79,20,80,90,28,55,129,129,,,,JA,1,"seems like kid self-corrects, using error below",RMS,
AM-47,English (India),79,20,80,81,28,55,129,129,,,,JA,0,,RMS,
AM-47,English (India),101,onehundred-twohundred',102,103,28,55,129,129,,,,JA,0,,RMS,
AM-47,English (India),110,thousand',111,112,28,55,129,129,,,,JA,0,,RMS,
AM-47,English (India),114,116,114,115,28,55,129,129,,,,JA,0,,RMS,
AM-47,English (India),121,123,121,122,28,55,129,129,,,,JA,0,,RMS,
AM-47,English (India),129,120,130,114,28,55,129,129,,,,JA,0,,RMS,
AM-48,English (India),22,Silence,23,24,22,22,28,28,,,,JA,0,,RMS,
AM-48,English (India),24,Silence,25,26,22,22,28,28,,,,JA,0,,RMS,
AM-48,English (India),28,NA,NA,NA,22,22,28,28,,,,JA,0,,RMS,
AM-49,English (India),20,silent ,21,21,20,20,59,59,,,,JA,0,,RMS,
AM-49,English (India),29,22,30,31,20,20,59,59,,,,JA,0,,RMS,
AM-49,English (India),39,unintelligable ,40,41,20,20,59,59,,,,JA,0,,RMS,
AM-49,English (India),49,silent ,50,51,20,20,59,59,,,,JA,0,,RMS,
AM-49,English (India),59,50-10,60,silent,20,20,59,59,,,,JA,0,,RMS,
AM-49,English (India),NA,silent ,61,,20,20,59,59,,,,JA,1,experimenter had to prompt two numbers,RMS,
AM-5,English (India),18,IDK,19,IDK,18,18,18,18,0,0,,SH,0,,RMS,
AM-51,English (India),14,16,14,15,14,14,15,15,,,,JA,0,,RMS,
AM-51,English (India),15,17,16,19,14,14,15,15,,,,JA,0,,RMS,
AM-52,English (India),20,11,21,22,20,20,108,99,,,,JA,0,,RMS,
AM-52,English (India),39,30,40,41,20,20,108,99,,,,JA,0,,RMS,
AM-52,English (India),49,46,50,51,20,20,108,99,,,,JA,0,,RMS,
AM-52,English (India),59,unintelligible,60,61,20,20,108,99,,,"It sounds here, though it's hard to tell, that on certain words, e.g. 63, the kid is saying e.g. 53, though most in the count list are in the sixties decade. Exp. doesn't seem to note or notice. ",JA,0,,RMS,
AM-52,English (India),69,40,70,71,20,20,108,99,,,,JA,0,,RMS,
AM-52,English (India),79,18,80,81,20,20,108,99,,,,JA,0,,RMS,
AM-52,English (India),89,88,90,91,20,20,108,99,,,,JA,0,,RMS,
AM-52,English (India),99,90,100,silent ,20,20,108,99,-,,,JA,0,,RMS,
AM-52,English (India),99,silent ,101,102,20,20,108,99,,,,JA,1,could not continue aftert prompt,RMS,
AM-52,English (India),108,105,"no prompt, ended task ","no prompt, ended task ",20,20,108,99,,,"At end of recording, experimentor says that FHC seemed to be 99, but once the kid gets cued in on 101 or 102 they are able to count to 108, so it's debatable. ",JA,1,could not continue aftert prompt,RMS,
AM-53,English (India),23,,24,25,23,23,29,29,,,,JA,0,,RMS,
AM-53,English (India),29,40,30,NA,23,23,29,29,,,,JA,0,,RMS,
AM-53,English (India),NA,NA,31,NA,23,23,29,29,,,,JA,1,could not continue after prompt,RMS,
AM-54,English (India),15,unintelligible,16,17,15,15,25,25,,,,JA,0,,RMS,
AM-54,English (India),19,22,21,22,15,15,25,25,,1,Exp. thought highest count was 20 not 19,JA,0,,RMS,
AM-54,English (India),25,27,26,29,15,15,25,25,,,,JA,0,,RMS,
AM-57,English (India),10,12,11,silent,10,10,10,10,,,Child parrots experimentor up to twelve but unprompted never gets past 10,JA,0,,RMS,
AM-6,English (India),NA,NA,NA,NA,NA,NA,NA,NA,,,,RMS,1,did not do highest count,RMS,
AM-60,English (India),10,doesn't seem to know,11,NA,10,10,10,10,,,,JA,0,,RMS,
AM-60,English (India),NA,NA,12,NA,10,10,10,10,,,,JA,1,could not continue after prompt,RMS,
AM-65,English (India),13,15,14,15,13,13,26,20,,,,JA,0,,RMS,
AM-65,English (India),20,22,21,23,13,13,26,20,,,,JA,0,,RMS,
AM-65,English (India),NA,,22,23,13,13,26,20,,,,JA,1,could not continue after prompt,RMS,
AM-65,English (India),26,28,NA,NA,13,13,26,20,,,,JA,1,could not continue after prompt,RMS,
AM-67,English (India),100,silence,101,silent ,100,100,100,100,,,,JA,0,,RMS,
AM-67,English (India),NA,NA,102,silent,100,100,100,100,,1,"Experimentor says IHC is 59 and FHC is 100, but child in recording seems to have produced 59-60 decade change on their own",JA,1,could not continue after prompt,RMS,
AM-7,English (India),10,7,11,34?,10,10,10,10,0,0,,SH,0,,RMS,
AM-73,English (India),62,"""sixty-[unintelliible, maybe three]-four""",NA,NA,62,62,127,127,,1,Exp. missed likely error @ 3:31 ,JA,0,,RMS,
AM-73,English (India),115,117,NA,NA,62,62,127,127,,1,,JA,0,,RMS,
AM-73,English (India),120,uncertain,121,122,62,62,127,127,,,,JA,0,,RMS,
AM-73,English (India),123,122,123,124,62,62,127,127,,,,JA,0,,RMS,
AM-73,English (India),127,129,NA,NA,62,62,127,127,,,,JA,0,,RMS,
AM-74,English (India),30,20,31,32,30,30,115,115,,,,JA,0,,RMS,
AM-74,English (India),50,60,51,52,30,30,115,115,,,,JA,0,,RMS,
AM-74,English (India),59,,60,61,30,30,115,115,,,,JA,0,,RMS,
AM-74,English (India),65,68,66,67,30,30,115,115,,,,JA,0,,RMS,
AM-74,English (India),75,78,76,77,30,30,115,115,,,,JA,0,,RMS,
AM-74,English (India),88,uncertain,89,90,30,30,115,115,,,,JA,0,,RMS,
AM-74,English (India),109,111,110,111,30,30,115,115,,,,JA,0,,RMS,
AM-74,English (India),113,uncertain,111,112,30,30,115,115,, ,Child make to 113 but experimentor thinks/returns to 111,JA,0,,RMS,
AM-74,English (India),115,117,NA,NA,30,30,115,115,,,,JA,0,,RMS,
AM-75,English (India),14,16,15,16,14,14,20,20,,,,JA,0,,RMS,
AM-75,English (India),20,22,21,24,14,14,20,20,,,,JA,0,,RMS,
AM-76,English (India),100,Uncertain,101,102,100,100,109,109,,,"Circa 2:55 child loops at 46 ('45, 46, 45, 46') but continues on correctly",JA,0,,RMS,
AM-76,English (India),109,"1,000",101,102,100,100,109,109,,,"Here child counts up to 109 in a sort of idiosyncratic way, saying Hundredy-1, hundredy-2. After child goes from hundredy-9 to one thousand, experimentor corrects on pronouncing one hundred, hundred one, and kid starts counting from one hundred",JA,0,,RMS,
AM-76,English (India),109,Uncertain,NA,NA,100,100,109,109,,,,JA,0,,RMS,
AM-8,English (India),11,13,12,Stops counting,11,11,11,11,0,0,,SH,0,,RMS,
CH-AP-3,Gujarati,20,IDK,21,22,20,20,40,40,,0,,SP,0,,RMS,
CH-AP-3,Gujarati,30,33,31,32,20,20,40,40,,0,,SP,0,,RMS,
CH-AP-3,Gujarati,38,29,39,40,20,20,40,40,,0,,SP,0,,RMS,
CH-AR-15,Gujarati,5,6 (Hindi),NA,NA,5,5,19,19,,1,Experimenter missed,SH,0,,RMS,
CH-AR-15,Gujarati,19,IDK,20,IDK,5,5,19,19,,,,SH,0,,RMS,
CH-AS-67,Gujarati,10,12,11,12,10,10,20,20,,0,,SP,0,,RMS,
CH-AS-67,Gujarati,14,16,15,16,10,10,20,20,,0,,SP,0,,RMS,
CH-AS-67,Gujarati,20,che-vees,21,23,10,10,20,20,,0,,SP,0,,RMS,
CH-BG-27,Gujarati,13,10,14,IDK,13,13,13,13,,,,SH,0,,RMS,
CH-BP-5,Gujarati,20,22,21,22,20,20,28,28,,0,,SP,1,Exclude? Experimenter did not catch any mistakes and gave wrong prompt,RMS,
CH-BP-5,Gujarati,28,79,NA,NA,20,20,28,28,,1,"Experimenter asked ""What comes next?"" and child corrected themself",SP,1,Exclude? Experimenter did not catch any mistakes and gave wrong prompt,RMS,
CH-BP-5,Gujarati,38,49,NA,NA,20,20,28,28,,1,"Experimenter asked ""What comes next?"" and child corrected themself",SP,1,Exclude? Experimenter did not catch any mistakes and gave wrong prompt,RMS,
CH-BP-5,Gujarati,46,wrong pronunciation (chor-thalees),NA,NA,20,20,28,28,,1,Experiementer missed,SP,1,Exclude? Experimenter did not catch any mistakes and gave wrong prompt,RMS,
CH-BP-5,Gujarati,50,91,NA,NA,20,20,28,28,,1,"Experiementer missed, child counted until 59, experimenter wrongly prompted with 59, child continued to 60",SP,1,Exclude? Experimenter did not catch any mistakes and gave wrong prompt,RMS,
CH-BS-35,Gujarati,40,IDK,41,42,40,40,43,46,,,,SH,0,,RMS,
CH-BS-35,Gujarati,43,IDK,44,6,40,40,43,46,,,,SH,0,,RMS,
CH-DB-44,Gujarati,34,IDK,35,36,34,34,43,46,,,,SH,0,,RMS,
CH-DB-44,Gujarati,36,27,37,38,34,34,43,46,,,,SH,0,,RMS,
CH-DB-44,Gujarati,38,IDK,39,40,34,34,43,46,,,,SH,0,,RMS,
CH-DB-44,Gujarati,44,IDK,45,46,34,34,43,46,,,,SH,0,,RMS,
CH-DB-44,Gujarati,46,IDK,47,IDK,34,34,43,46,,,,SH,0,,RMS,
CH-DM-19,Gujarati,76,77 (mispronounced),77,78,76,76,100,100,,,,SH,0,,RMS,
CH-DM-19,Gujarati,88,IDK,89,90,76,76,100,100,,,,SH,0,,RMS,
CH-DM-19,Gujarati,100,IDK,101,IDK,76,76,100,100,,,,SH,0,,RMS,
CH-DP-25,Gujarati,15,IDK,16,11,15,15,15,15,,,,SH,0,,RMS,
CH-DP-45,Gujarati,33,IDK,34,IDK,33,33,33,33,,,Difficult to hear,SH,0,,RMS,
CH-DR-57,Gujarati,30,3 and 1,31,32,30,32,36,36,,,,SH,1,"Not an error, kid was able to correct",RMS,
CH-DR-57,Gujarati,32,24,33,34,30,32,36,36,,,,SH,0,,RMS,
CH-DR-57,Gujarati,36,3 and 7,37,IDK,30,32,36,36,,,,SH,0,,RMS,
CH-DS-48,Gujarati,6,IDK,7,8,6,6,18,18,,,,SH,0,,RMS,
CH-DS-48,Gujarati,16,18,17,18,6,6,18,18,,,,SH,0,,RMS,
CH-DS-48,Gujarati,18,7,19,IDK,6,6,18,18,,,,SH,0,,RMS,
CH-DV-11,Gujarati,19,IDK,20,IDK,19,19,19,19,,,,SH,0,,RMS,
CH-HC-43,Gujarati,88,"""ogana-nevun""",89,90,88,88,140,140,,,Error follows pattern but is ultimately incorrect,SP,0,,RMS,
CH-HC-43,Gujarati,100,200,101,102,88,88,140,140,,,,SP,0,,RMS,
CH-HC-43,Gujarati,120,IDK,121,122,88,88,140,140,,,,SP,0,,RMS,
CH-HJ-37,Gujarati,30,IDK,31,IDK,30,30,30,30,,,,SP,0,,RMS,
CH-HR-12,Gujarati,20,IDK,21,22,20,20,24,24,,,,SP,0,,RMS,
CH-HR-12,Gujarati,24,IDK,25,IDK,20,20,24,24,,,,SP,0,,RMS,
CH-JP-10,Gujarati,68,59,69,70,68,68,100,100,,,,SP,0,,RMS,
CH-JP-10,Gujarati,70,IDK,71,72,68,68,100,100,,,,SP,0,,RMS,
CH-JP-10,Gujarati,78,IDK,79,80,68,68,100,100,,,,SP,0,,RMS,
CH-JP-10,Gujarati,100,IDK,101,IDK,68,68,100,100,,,,SP,0,,RMS,
CH-JP-47,Gujarati,NA,NA,NA,NA,NA,NA,NA,NA,,,Child would not speak,SP,1,would not count,RMS,
CH-KB-42,Gujarati,23,5,24,8,23,23,23,23,,,,SP,0,,RMS,
